kind,address,name,file,line,votes,detail
callee-kept,007af47a,e_UITextureAddFrame (e_UITextureAddFrame),,,2/2,"from 0048256f: e_UITextureAddFrame(frame; texture->m_nTextureId; UI_RECT(fX1; fY1; fX2; fY2) )"
callee-kept,007bc879,e_FeatureLine_EnumerateStopNames (e_FeatureLine_EnumerateStopNames),,,2/2,"from 007bba1d: e_FeatureLine_EnumerateStopNames(nLineName; nMinStopIndex; nMinStopNameOut)"
callee-kept,007da479,dxC_GPUTimerGetCounts (dxC_GPUTimerGetCounts),,,1/1,"from 007d5105: dxC_GPUTimerGetCounts( &dwGPUAvgMs; &dwGPUMaxMs; dwGPUStaleFrames )"
callee-kept,0079247c,e_ModelDefinitionRestore (e_ModelDefinitionRestore),,,2/2,"from 00796b93: e_ModelDefinitionRestore ( nModelDefinitionId; nLOD )"
callee-kept,0079447c,dxC_OccluderDefinitionXfer (dxC_OccluderDefinitionXfer),,,1/1,"from 0079450c: dxC_OccluderDefinitionXfer( tXfer; *tSharedModelDef.pOccluderDef )"
callee-kept,007b187e,e_UIGetNewLocalBuffer (e_UIGetNewLocalBuffer),,,2/2,"from 004fedf0: e_UIGetNewLocalBuffer( texture->m_nLocalBuffer )"
callee-kept,0042a447,UITextureLoadDefinition (UITextureLoadDefinition),,,1/1,"from 004843a8: UITextureLoadDefinition(%s)"
callee-kept,0078247f,dx9_GetEffectAndTechnique (dx9_GetEffectAndTechnique),,,1/1,"from 007c7b5a: dx9_GetEffectAndTechnique( pMaterial; pModel; pModelDef; pMesh; nMesh; dwMeshFlagsDoDraw; nPointLights; tLights.ModelSpec.nLights; fDistanceToEyeSquared; pEffectDef; ppEffect; pptTechnique; fTransitionStr; nShaderType; pEnvDef; &dwFinalFlags; nLOD )"
callee-kept,0079b07e,sReleaseTextureResource (sReleaseTextureResource),,,3/3,"from 0079c10c: sReleaseTextureResource( pTexture )"
callee-kept,007ad473,e_PrimitiveAddTri (e_PrimitiveAddTri),,,18/18,"from 007de15e: e_PrimitiveAddTri( tInfo.dwFlags; &tVerts[ 4 ]; &tVerts[ 5 ]; &tVerts[ 7 ]; tInfo.dwColor )"
callee-kept,007c4875,MarkVisibleInRange (MarkVisibleInRange),,,2/2,"from 007c462a: MarkVisibleInRange( vCenter; fDiag )"
callee-kept,00785071,dx9_SHCoefsScale (dx9_SHCoefsScale),,,6/6,"from 00784ac3: dx9_SHCoefsScale( &tSplitCoefs; &ptPointCoefs[ ptMeshLights->nRealLights ]; ptMeshLights->fSplitSHStr )"
callee-kept,0040804b,sModelInitScrollingMaterialPhases (sModelInitScrollingMaterialPhases),,,1/1,"from 00792135: sModelInitScrollingMaterialPhases(pModel; nModelDefId; i; bReset)"
callee-kept,007e2072,dx9_ReleaseOcclusionQuery (dx9_ReleaseOcclusionQuery),,,5/5,"from 0078d591: dx9_ReleaseOcclusionQuery( &pModel->tOcclusion; pModel->nId )"
callee-kept,00779467,sRenderTextureSprite (sRenderTextureSprite),,,2/2,"from 00779890: sRenderTextureSprite( nMode; lpTexture; tDesc )"
callee-kept,007d8069,dxC_GetRenderTargetDimensions (dxC_GetRenderTargetDimensions),,,11/11,"from 00779467: dxC_GetRenderTargetDimensions( nWidth; nHeight )"
